home_team,away_team,home_team_goals,away_team_goals,match_date
ross county,hibernian,0,1,2017-09-23T15:00:00+00:00
st. johnstone,hamilton,2,1,2017-09-23T15:00:00+00:00
rangers,celtic,0,2,2017-09-23T12:00:00+00:00
aberdeen,kilmarnock,1,1,2017-09-16T15:00:00+00:00
celtic,ross county,4,0,2017-09-16T15:00:00+00:00
dundee fc,st. johnstone,3,2,2017-09-16T15:00:00+00:00
hamilton,hearts,1,2,2017-09-16T15:00:00+00:00
hibernian,motherwell,2,2,2017-09-16T15:00:00+00:00
partick thistle,rangers,2,2,2017-09-15T19:45:00+00:00
hearts,aberdeen,0,0,2017-09-09T15:00:00+00:00
motherwell,kilmarnock,2,0,2017-09-09T15:00:00+00:00
rangers,dundee fc,4,1,2017-09-09T15:00:00+00:00
ross county,partick thistle,1,1,2017-09-09T15:00:00+00:00
st. johnstone,hibernian,1,1,2017-09-09T15:00:00+00:00
hamilton,celtic,1,4,2017-09-08T19:45:00+00:00
ross county,rangers,1,3,2017-08-27T15:00:00+00:00
dundee fc,hibernian,1,1,2017-08-27T12:30:00+00:00
celtic,st. johnstone,1,1,2017-08-26T15:00:00+00:00
kilmarnock,hamilton,2,2,2017-08-26T15:00:00+00:00
motherwell,hearts,2,1,2017-08-26T15:00:00+00:00
partick thistle,aberdeen,3,4,2017-08-26T15:00:00+00:00
aberdeen,dundee fc,2,1,2017-08-19T15:00:00+00:00
hibernian,hamilton,1,3,2017-08-19T15:00:00+00:00
motherwell,ross county,2,0,2017-08-19T15:00:00+00:00
rangers,hearts,0,0,2017-08-19T15:00:00+00:00
st. johnstone,partick thistle,1,0,2017-08-19T15:00:00+00:00
kilmarnock,celtic,0,2,2017-08-19T12:30:00+00:00
hamilton,dundee fc,3,0,2017-08-12T15:00:00+00:00
kilmarnock,hearts,0,1,2017-08-12T15:00:00+00:00
rangers,hibernian,2,3,2017-08-12T15:00:00+00:00
ross county,aberdeen,1,2,2017-08-12T15:00:00+00:00
st. johnstone,motherwell,4,1,2017-08-12T15:00:00+00:00
partick thistle,celtic,0,1,2017-08-11T19:45:00+00:00
aberdeen,hamilton,2,0,2017-08-06T15:00:00+00:00
motherwell,rangers,1,2,2017-08-06T13:30:00+00:00
dundee fc,ross county,1,2,2017-08-05T15:00:00+00:00
hibernian,partick thistle,3,1,2017-08-05T15:00:00+00:00
kilmarnock,st. johnstone,1,2,2017-08-05T15:00:00+00:00
celtic,hearts,4,1,2017-08-05T12:30:00+00:00
